epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.851,1.42518,4.45637,1.0292,0.01051,0.48231,0.02447,0.0096,1.25703,4.58537,0.94814,0.00018,0.00018,0.00018
2,4179.15,1.44049,3.14818,0.9836,0.00667,0.21175,0.04297,0.01933,1.46683,4.48936,1.02058,0.00035779,0.00035779,0.00035779
3,4525,1.39544,2.48586,1.00756,0.01163,0.2774,0.0458,0.02498,1.25563,4.33251,0.95889,0.00052304,0.00052304,0.00052304
4,4863.13,1.33689,2.09864,0.99476,0.01003,0.50557,0.32314,0.19149,1.25736,3.95951,0.9917,0.00067575,0.00067575,0.00067575
5,5186.17,1.30239,1.85805,0.99365,0.83772,0.10692,0.53036,0.34269,1.24313,3.56222,0.99465,0.00081592,0.00081592,0.00081592
6,5496.65,1.25045,1.75891,0.98683,0.9566,0.25903,0.73558,0.47919,1.2294,2.95488,1.03545,0.000835,0.000835,0.000835
7,5804.02,1.25729,1.58058,0.99962,0.84346,0.58985,0.78039,0.47095,1.35986,2.55698,1.09231,0.000802,0.000802,0.000802
8,6111.94,1.27269,1.52489,0.97654,0.80095,0.70046,0.77332,0.51391,1.21431,1.84211,1.08746,0.000769,0.000769,0.000769
9,6446.36,1.25378,1.49622,0.9703,0.76228,0.73614,0.80284,0.53299,1.22991,1.71305,1.02434,0.000736,0.000736,0.000736
10,6764.71,1.21918,1.34321,0.96247,0.81179,0.71342,0.79503,0.53672,1.19224,1.66138,1.01306,0.000703,0.000703,0.000703
11,7076.68,1.19845,1.30421,0.94648,0.80553,0.80276,0.84992,0.57378,1.28432,1.43091,1.1048,0.00067,0.00067,0.00067
